name,brand,model,memory,memory_interface,length,interface,chipset,base_clock,clock_speed,frame_sync,price,item_url,used
Asus TUF Gaming GeForce GTX 1660 Super Overclocked 6GB Edition HDMI DP DVI Gaming Graphics Card ,ASUS, GeForce GTX 1660 SUPER , 6 GB , GDDR6 , 206 mm , PCIe x16 , GeForce GTX 1660 SUPER , 1530 MHz , 1845 MHz , G-Sync ,$279.99 ,https://pcbuilder.net/component-details/graphics-card/asus-geforce-gtx-1660-super-tuf-gtx1660s-o6g-gaming/,0
"Gigabyte GeForce GTX 1660 Super OC 6G Graphics Card, 2X Windforce Fans, 6GB 192-bit GDDR6, Video Card",Gigabyte, GeForce GTX 1660 Super , 6 GB , GDDR6 , 225.65 mm , PCIe x16 , GeForce GTX 1660 SUPER , 1530 MHz , 1830 MHz , G-Sync ,$369.80 ,https://pcbuilder.net/component-details/graphics-card/gigabyte-geforce-gtx-1660-super-gv-n166soc-6gd/,0
"EVGA GeForce GTX 1660 Super Sc Ultra Gaming, 6GB GDDR6, Dual Fan, Metal Backplate",EVGA, GeForce GTX 1660 SUPER , 6 GB , GDDR6 , 202.1 mm , PCIe x16 , GeForce GTX 1660 SUPER , 1530 MHz , 1830 MHz , G-Sync ,$239.99 ,https://pcbuilder.net/component-details/graphics-card/evga-geforce-gtx-1660-super-06g-p4-1068-kr/,0
"Gigabyte GeForce GTX 1660 Super Gaming OC 6G Graphics Card, 3X Windforce Fans, 6GB 192-bit GDDR6, OC-6GD Video Card",Gigabyte, GeForce GTX 1660 Super , 6 GB , GDDR6 , 280 mm , PCI Express 3.0 x16 , GeForce GTX 1660 SUPER , 1530 MHz , 1860 MHz , G-Sync ,$679 ,https://pcbuilder.net/component-details/graphics-card/gigabyte-geforce-gtx-1660-super-gv-n166sgaming-oc-6gd/,0
MSI Gaming GeForce GTX 1660 Super 192-bit HDMI/DP 6GB GDRR6 HDCP Support DirectX 12 Dual Fan VR Ready OC Graphics Card,MSI, GeForce GTX 1660 SUPER , 6 GB , GDDR6 , 246.888 mm , PCIe x16 , GeForce GTX 1660 SUPER , 1530 MHz , 1830 MHz , G-Sync ,$329.16 ,https://pcbuilder.net/component-details/graphics-card/msi-geforce-gtx-1660-super-gtx-1660-super-gaming-x/,0
Asus GeForce GTX 1660 Super Overclocked 6GB Dual-Fan Evo Edition VR Ready HDMI DisplayPort DVI Graphics Card ,ASUS, GeForce GTX 1660 Super , 6 GB , GDDR6 , 242 mm , PCIe x16 , GeForce GTX 1660 SUPER , 1530 MHz , 1860 MHz , G-Sync ,$290.59 ,https://pcbuilder.net/component-details/graphics-card/asus-geforce-gtx-1660-super-dual-gtx1660s-o6g-evo/,0
ASUS ROG Strix GeForce GTX 1660 Super Advanced 6GB Edition GDDR6 HDMI 2.0 DP 1.4 Gaming Graphics Card,ASUS, ROG Strix GeForce GTX 1660 Super , 6 GB , GDDR6 , 243 mm , PCIe x16 , GeForce GTX 1660 SUPER , 1530 MHz , 1845 MHz , G-Sync ,$311.22 ,https://pcbuilder.net/component-details/graphics-card/asus-rog-strix-geforce-gtx-1660-super-rog-strix-gtx1660s-a6g-gaming/,1
"ZOTAC Gaming GeForce GTX 1660 Super 6GB GDDR6 192-bit Gaming Graphics Card, Super Compact",ZOTAC, Geforce GTX 1660 SUPER TWIN FAN , 6 GB , GDDR6 , 173.4 mm , PCI Express 3.0 x16 , GeForce GTX 1660 SUPER , 1530 MHz , 1785 MHz , G-Sync ,$273.67 ,https://pcbuilder.net/component-details/graphics-card/zotac-geforce-gtx-1660-super-twin-fan/,0
Asus GeForce GTX 1660 Super Overclocked 6GB Phoenix Fan Edition HDMI DP DVI Graphics Card ,ASUS, GeForce GTX 1660 Super , 6 GB , GDDR6 , 174 mm , PCI Express 3.0 x16 , GeForce GTX 1660 SUPER , 1530 MHz , 1830 MHz , G-Sync ,$247.71 ,https://pcbuilder.net/component-details/graphics-card/asus-geforce-gtx-1660-super-ph-gtx1660s-o6g/,0
ASUS GeForce GTX 1070 8GB ROG Strix OC Edition Graphic Card STRIX-GTX1070-O8G-GAMING,Asus, STRIX-GTX1070-O8G-GAMING , 8 GB , GDDR5 , 298 mm , PCIe x16 , GeForce GTX 1070 , 1632 MHz , 1860 MHz , G-Sync ,"$4,146.10 ",https://pcbuilder.net/component-details/graphics-card/asus-strix-gtx1070-o8g-gaming/,0
